K best features, Gaussian NB ,  Best K Neighbors , Best Decision Tree , Ada Boost Decision Tree
1, 0.40 | 0.33, 0.15 | 0.08, 0.15 | 0.44, 0.35 | 0.23
2, 0.40 | 0.28, 0.10 | 0.03, 0.07 | 0.15, 0.25 | 0.13
3, 0.38 | 0.32, 0.15 | 0.08, 0.17 | 0.64, 0.35 | 0.23
4, 0.42 | 0.42, 0.35 | 0.16, 0.16 | 0.42, 0.20 | 0.17
5, 0.38 | 0.42, 0.38 | 0.26, 0.17 | 0.23, 0.25 | 0.30
6, 0.37 | 0.43, 0.43 | 0.26, 0.28 | 0.36, 0.13 | 0.17
7, 0.41 | 0.48, 0.30 | 0.23, 0.25 | 0.33, 0.23 | 0.23
8, 0.35 | 0.42, 0.30 | 0.23, 0.13 | 0.44, 0.23 | 0.23
9, 0.35 | 0.38, 0.10 | 0.15, 0.13 | 0.44, 0.23 | 0.23
10, 0.35 | 0.38, 0.10 | 0.15, 0.12 | 0.34, 0.23 | 0.18
11, 0.35 | 0.38, 0.10 | 0.15, 0.29 | 0.82, 0.20 | 0.13
12, 0.35 | 0.38, 0.10 | 0.15, 0.32 | 0.66, 0.30 | 0.18
13, 0.35 | 0.42, 0.10 | 0.15, 0.32 | 0.66, 0.30 | 0.18
14, 0.35 | 0.42, 0.10 | 0.15, 0.34 | 0.76, 0.28 | 0.18
15, 0.35 | 0.42, 0.10 | 0.15, 0.32 | 0.66, 0.28 | 0.18
16, 0.35 | 0.42, 0.10 | 0.15, 0.32 | 0.66, 0.28 | 0.18
17, 0.35 | 0.42, 0.10 | 0.15, 0.34 | 0.66, 0.28 | 0.18
18, 0.35 | 0.42, 0.10 | 0.15, 0.33 | 0.66, 0.28 | 0.22
19, 0.28 | 0.42, 0.10 | 0.15, 0.24 | 0.33, 0.18 | 0.15
20, 0.25 | 0.57, 0.10 | 0.15, 0.30 | 0.43, 0.28 | 0.18
21, 0.20 | 0.47, 0.30 | 0.25, 0.25 | 0.33, 0.28 | 0.18
all, 0.20 | 0.47, 0.30 | 0.25, 0.42 | 0.41, 0.28 | 0.18
